,amounts,ask_close,ask_high,ask_low,ask_open,assets,bid_close,bid_high,bid_low,bid_open,currency,frozen_amounts,frozen_currency
2018-03-13 01:34:00,9000.0,107.149,107.168,107.149,107.167,1001813.1829300001,107.147,107.167,107.147,107.165,37492.59373750014,0.0,0.0
2018-03-13 01:35:00,9000.0,107.137,107.149,107.136,107.149,1001723.1831550001,107.137,107.149,107.134,107.147,37492.59373750014,0.0,0.0
2018-03-13 01:36:00,9000.0,107.137,107.139,107.133,107.137,1001723.1831550001,107.137,107.139,107.132,107.137,37492.59373750014,0.0,0.0
2018-03-13 01:37:00,9000.0,107.157,107.165,107.137,107.137,1001876.1827725,107.154,107.163,107.136,107.137,37492.59373750014,0.0,0.0
2018-03-13 01:38:00,9000.0,107.173,107.176,107.157,107.157,1002020.1824125,107.17,107.174,107.154,107.154,37492.59373750014,0.0,0.0
2018-03-13 01:39:00,9000.0,107.153,107.174,107.152,107.173,1001849.18284,107.151,107.174,107.15,107.17,37492.59373750014,0.0,0.0
2018-03-13 01:40:00,9000.0,107.155,107.159,107.152,107.153,1001867.1827950001,107.153,107.158,107.15,107.151,37492.59373750014,0.0,0.0
2018-03-13 01:41:00,9000.0,107.164,107.165,107.154,107.155,1001957.1825700001,107.163,107.163,107.153,107.153,37492.59373750014,0.0,0.0
2018-03-13 01:42:00,9000.0,107.151,107.166,107.144,107.164,1001840.1828625001,107.15,107.165,107.143,107.163,37492.59373750014,0.0,0.0
2018-03-13 01:43:00,9000.0,107.144,107.159,107.141,107.151,1001777.18302,107.143,107.158,107.141,107.15,37492.59373750014,0.0,0.0
2018-03-13 01:44:00,9000.0,107.144,107.146,107.135,107.144,1001777.18302,107.143,107.146,107.134,107.143,37492.59373750014,0.0,0.0
2018-03-13 01:45:00,9000.0,107.146,107.15,107.142,107.144,1001786.1829975001,107.144,107.15,107.142,107.143,37492.59373750014,0.0,0.0
2018-03-13 01:46:00,9000.0,107.144,107.15,107.142,107.146,1001777.18302,107.143,107.148,107.141,107.144,37492.59373750014,0.0,0.0
2018-03-13 01:47:00,9000.0,107.137,107.144,107.136,107.144,1001723.1831550001,107.137,107.143,107.134,107.143,37492.59373750014,0.0,0.0
2018-03-13 01:48:00,9000.0,107.139,107.139,107.136,107.137,1001723.1831550001,107.137,107.14,107.135,107.137,37492.59373750014,0.0,0.0
2018-03-13 01:49:00,9000.0,107.147,107.147,107.133,107.139,1001795.182975,107.145,107.145,107.131,107.137,37492.59373750014,0.0,0.0
2018-03-13 01:50:00,9000.0,107.151,107.16,107.142,107.147,1001840.1828625001,107.15,107.16,107.14,107.145,37492.59373750014,0.0,0.0
2018-03-13 01:51:00,9000.0,107.148,107.156,107.147,107.151,1001813.1829300001,107.147,107.155,107.146,107.15,37492.59373750014,0.0,0.0
2018-03-13 01:52:00,9000.0,107.162,107.164,107.148,107.148,1001939.182615,107.161,107.164,107.145,107.147,37492.59373750014,0.0,0.0
2018-03-13 01:53:00,9000.0,107.159,107.169,107.155,107.162,1001903.182705,107.157,107.168,107.155,107.161,37492.59373750014,0.0,0.0
2018-03-13 01:54:00,9000.0,107.152,107.16,107.146,107.159,1001849.18284,107.151,107.159,107.145,107.157,37492.59373750014,0.0,0.0
2018-03-13 01:55:00,9000.0,107.152,107.152,107.151,107.152,1001849.18284,107.151,107.152,107.149,107.151,37492.59373750014,0.0,0.0
2018-03-13 01:56:00,9000.0,107.152,107.158,107.152,107.152,1001849.18284,107.151,107.158,107.151,107.151,37492.59373750014,0.0,0.0
2018-03-13 01:57:00,9000.0,107.153,107.156,107.144,107.152,1001858.1828175001,107.152,107.155,107.142,107.151,37492.59373750014,0.0,0.0
2018-03-13 01:58:00,9000.0,107.163,107.165,107.147,107.153,1001948.1825925001,107.162,107.163,107.145,107.152,37492.59373750014,0.0,0.0
2018-03-13 01:59:00,9000.0,107.147,107.163,107.147,107.163,1001804.1829525001,107.146,107.163,107.145,107.162,37492.59373750014,0.0,0.0
2018-03-13 02:00:00,9000.0,107.149,107.16,107.147,107.147,1001822.1829075,107.148,107.159,107.146,107.146,37492.59373750014,0.0,0.0
